Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares
Y,AAA,Alternative Access First Priority CLO Bond ETF,P, ,Y,100.0,N,,AAA,AAA,N
Y,AAAA,Amplius Aggressive Asset Allocation ETF,Z, ,Y,100.0,N,,AAAA,AAAA,N
Y,AAAC,Columbia AAA CLO ETF,P, ,Y,100.0,N,,AAAC,AAAC,N
Y,AAAD,PGIM AAA CLO Aggregate Duration ETF,P, ,Y,100.0,N,,AAAD,AAAD,N
Y,AAAP,Pacer Barings CLO Market Flex ETF,Q,G,Y,100.0,N,N,,AAAP,N
Y,AAAU,Goldman Sachs Physical Gold ETF Shares,Z, ,Y,100.0,N,,AAAU,AAAU,N
Y,AADR,AdvisorShares Dorsey Wright ADR ETF,Q,G,Y,100.0,N,N,,AADR,N
Y,AAEQ,Alpha Architect US Equity 2 ETF,Q,G,Y,100.0,N,N,,AAEQ,N
Y,AALG,Leverage Shares 2X Long AAL Daily ETF,Q,G,Y,100.0,N,N,,AALG,N
Y,AAOG,Leverage Shares 2X Long AAOI Daily ETF,Z, ,Y,100.0,N,,AAOG,AAOG,N
Y,AAOX,Tradr 2X Long AAOI Daily ETF,Z, ,Y,100.0,N,,AAOX,AAOX,N
Y,AAPB,GraniteShares 2x Long AAPL Daily ETF,Q,G,Y,100.0,N,N,,AAPB,N
Y,AAPD,Direxion Daily AAPL Bear 1X ETF,Q,G,Y,100.0,N,N,,AAPD,N
Y,AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2028,Z, ,Y,100.0,N,,AAPR,AAPR,N
Y,AAPU,Direxion Daily AAPL Bull 2X ETF,Q,G,Y,100.0,N,N,,AAPU,N
Y,AAPW,Roundhill AAPL WeeklyPay ETF,Z, ,Y,100.0,N,,AAPW,AAPW,N
Y,AAPX,T-Rex 2X Long Apple Daily Target ETF,Z, ,Y,100.0,N,,AAPX,AAPX,N
Y,AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,Z, ,Y,100.0,N,,AAPY,AAPY,N
Y,AAUA,Alpha Architect US Equity 3 ETF,Z, ,Y,100.0,N,,AAUA,AAUA,N
Y,AAUS,Alpha Architect US Equity ETF,Q,G,Y,100.0,N,N,,AAUS,N
Y,AAVM,Alpha Architect Global Factor Equity ETF,Q,G,Y,100.0,N,N,,AAVM,N
Y,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Q,G,Y,100.0,N,N,,AAXJ,N
Y,ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,Q,G,Y,100.0,N,N,,ABCS,N
Y,ABEQ,Absolute Select Value ETF,P, ,Y,100.0,N,,ABEQ,ABEQ,N
Y,ABFL,Abacus FCF Leaders ETF,Z, ,Y,100.0,N,,ABFL,ABFL,N
Y,ABI,VictoryShares Pioneer Asset-Based Income ETF,Q,G,Y,100.0,N,N,,ABI,N
Y,ABIG,Argent Large Cap ETF,Q,G,Y,100.0,N,N,,ABIG,N
Y,ABLD,Abacus FCF Real Assets Leaders ETF,Z, ,Y,100.0,N,,ABLD,ABLD,N
Y,ABLG,Abacus FCF International Leaders ETF,Z, ,Y,100.0,N,,ABLG,ABLG,N
Y,ABLS,Abacus FCF Small Cap Leaders ETF,Z, ,Y,100.0,N,,ABLS,ABLS,N
