Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares
Y,A,"Agilent Technologies, Inc. Common Stock",N, ,N,100.0,N,,A,A,N
Y,AA,Alcoa Corporation Common Stock ,N, ,N,100.0,N,,AA,AA,N
Y,AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,Q,G,N,100.0,N,D,,AACB,N
Y,AACBU,Artius II Acquisition Inc. - Units,Q,G,N,100.0,N,N,,AACBU,N
Y,AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",Q,S,N,100.0,N,N,,AACG,N
Y,AACI,Armada Acquisition Corp. III - Class A Ordinary Share,Q,G,N,100.0,N,N,,AACI,N
Y,AACIU,Armada Acquisition Corp. III - Units,Q,G,N,100.0,N,N,,AACIU,N
Y,AACIW,Armada Acquisition Corp. III - Warrant,Q,G,N,100.0,N,N,,AACIW,N
Y,AACO,Abony Acquisition Corp. I - Class A Ordinary Share,Q,G,N,100.0,N,N,,AACO,N
Y,AACOU,Abony Acquisition Corp. I - Units,Q,G,N,100.0,N,N,,AACOU,N
Y,AACP,Apogee Acquisition Corp - Class A Ordinary Shares,Q,G,N,100.0,N,N,,AACP,N
Y,AACPR,Apogee Acquisition Corp - Rights,Q,G,N,100.0,N,N,,AACPR,N
Y,AACPU,Apogee Acquisition Corp - Units,Q,G,N,100.0,N,N,,AACPU,N
Y,AADX,"Applied Aerospace & Defense, Inc. Common Stock",N, ,N,100.0,N,,AADX,AADX,N
Y,AAL,"American Airlines Group, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AAL,N
Y,AAME,Atlantic American Corporation - Common Stock,Q,G,N,100.0,N,E,,AAME,N
Y,AAMI,Acadian Asset Management Inc. Common Stock,N, ,N,100.0,N,,AAMI,AAMI,N
Y,AAOI,"Applied Optoelectronics, Inc. - Common Stock",Q,G,N,100.0,N,N,,AAOI,N
Y,AAON,"AAON, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AAON,N
Y,AAP,Advance Auto Parts Inc.,N, ,N,100.0,N,,AAP,AAP,N
Y,AAPG,Ascentage Pharma Group International - American Depository Shares,Q,G,N,100.0,N,N,,AAPG,N
Y,AAPL,Apple Inc. - Common Stock,Q,Q,N,40.0,N,N,,AAPL,N
Y,AARD,"Aardvark Therapeutics, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AARD,N
Y,AAT,"American Assets Trust, Inc. Common Stock",N, ,N,100.0,N,,AAT,AAT,N
Y,AAUC,Allied Gold Corporation Common Shares,N, ,N,100.0,N,,AAUC,AAUC,N
Y,AB,AllianceBernstein Holding L.P.  Units,N, ,N,100.0,N,,AB,AB,N
Y,ABAT,American Battery Technology Company - Common Stock,Q,S,N,100.0,N,N,,ABAT,N
Y,ABBV,AbbVie Inc. Common Stock,N, ,N,100.0,N,,ABBV,ABBV,N
Y,ABCB,Ameris Bancorp Common Stock,N, ,N,100.0,N,,ABCB,ABCB,N
Y,ABCL,AbCellera Biologics Inc. - Common Shares,Q,Q,N,100.0,N,N,,ABCL,N
Y,ABEO,Abeona Therapeutics Inc. - Common Stock,Q,S,N,100.0,N,N,,ABEO,N
Y,ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),N, ,N,100.0,N,,ABEV,ABEV,N
Y,ABG,Asbury Automotive Group Inc Common Stock,N, ,N,100.0,N,,ABG,ABG,N
Y,ABLV,Able View Global Inc. - Class B Ordinary Shares,Q,S,N,100.0,N,N,,ABLV,N
Y,ABLVW,Able View Global Inc. - Warrant,Q,S,N,100.0,N,N,,ABLVW,N
Y,ABM,ABM Industries Incorporated Common Stock,N, ,N,100.0,N,,ABM,ABM,N
Y,ABNB,"Airbnb, Inc. - Class A Common Stock",Q,Q,N,100.0,N,N,,ABNB,N
Y,ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ABOS,N
Y,ABR,Arbor Realty Trust Common Stock,N, ,N,100.0,N,,ABR,ABR,N
Y,ABSI,Absci Corporation - Common Stock,Q,Q,N,100.0,N,N,,ABSI,N
Y,ABT,Abbott Laboratories Common Stock,N, ,N,100.0,N,,ABT,ABT,N
Y,ABTC,American Bitcoin Corp. - Class A Common Stock,Q,S,N,100.0,N,N,,ABTC,N
Y,ABTS,Abits Group Inc - Ordinary Shares,Q,S,N,100.0,N,N,,ABTS,N
Y,ABUS,Arbutus Biopharma Corporation - Common Stock,Q,Q,N,100.0,N,N,,ABUS,N
Y,ABVC,"ABVC BioPharma, Inc. - Common Stock",Q,S,N,100.0,N,N,,ABVC,N
Y,ABVX,Abivax SA - American Depositary Shares,Q,G,N,100.0,N,N,,ABVX,N
Y,ABX,"Abacus Global Management, Inc. Class A Common Stock",N, ,N,100.0,N,,ABX,ABX,N
Y,ABXL,"Abacus Global Management, Inc. 9.875% Fixed Rate Senior Notes due 2028",N, ,N,100.0,N,,ABXL,ABXL,N
Y,ACA,"Arcosa, Inc. Common Stock ",N, ,N,100.0,N,,ACA,ACA,N
Y,ACAA,Averin Capital Acquisition Corp. - Class A Ordinary Shares,Q,G,N,100.0,N,N,,ACAA,N
Y,ACAAU,Averin Capital Acquisition Corp. - Units,Q,G,N,100.0,N,N,,ACAAU,N
Y,ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,Q,Q,N,100.0,N,N,,ACAD,N
Y,ACB,Aurora Cannabis Inc. - Common Shares,Q,S,N,100.0,N,N,,ACB,N
Y,ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,Q,S,N,100.0,N,N,,ACCL,N
Y,ACCO,Acco Brands Corporation Common Stock,N, ,N,100.0,N,,ACCO,ACCO,N
Y,ACCS,ACCESS Newswire Inc. Common Stock,A, ,N,100.0,N,,ACCS,ACCS,N
Y,ACDC,ProFrac Holding Corp. - Class A Common Stock,Q,Q,N,100.0,N,N,,ACDC,N
Y,ACEL,"Accel Entertainment, Inc. ",N, ,N,100.0,N,,ACEL,ACEL,N
Y,ACET,"Adicet Bio, Inc. - Common Stock",Q,S,N,100.0,N,N,,ACET,N
Y,ACFN,"Acorn Energy, Inc. - Common Stock",Q,S,N,100.0,N,N,,ACFN,N
Y,ACGC,ACP Holdings Acquisition Corp. - Class A Ordinary Shares,Q,G,N,100.0,N,N,,ACGC,N
Y,ACGCU,ACP Holdings Acquisition Corp. - Units,Q,G,N,100.0,N,N,,ACGCU,N
Y,ACGCW,ACP Holdings Acquisition Corp. - Warrants,Q,G,N,100.0,N,N,,ACGCW,N
Y,ACGL,Arch Capital Group Ltd. - Common Stock,Q,Q,N,100.0,N,N,,ACGL,N
Y,ACGLN,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",Q,Q,N,100.0,N,N,,ACGLN,N
Y,ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",Q,Q,N,100.0,N,N,,ACGLO,N
Y,ACH,"Accendra Health, Inc. Common Stock",N, ,N,100.0,N,,ACH,ACH,N
Y,ACHC,"Acadia Healthcare Company, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ACHC,N
Y,ACHR,Archer Aviation Inc. Class A Common Stock,N, ,N,100.0,N,,ACHR,ACHR,N
Y,ACHV,"Achieve Life Sciences, Inc.  - Common Shares",Q,S,N,100.0,N,N,,ACHV,N
Y,ACI,"Albertsons Companies, Inc. Class A Common Stock",N, ,N,100.0,N,,ACI,ACI,N
Y,ACIC,American Coastal Insurance Corporation - Common Stock,Q,S,N,100.0,N,N,,ACIC,N
Y,ACIU,AC Immune SA - Common Stock,Q,G,N,100.0,N,N,,ACIU,N
Y,ACIW,"ACI Worldwide, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ACIW,N
Y,ACLS,"Axcelis Technologies, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ACLS,N
Y,ACM,AECOM Common Stock,N, ,N,100.0,N,,ACM,ACM,N
Y,ACMR,"ACM Research, Inc. - Class A Common Stock",Q,G,N,100.0,N,N,,ACMR,N
Y,ACN,Accenture plc Class A Ordinary Shares (Ireland),N, ,N,100.0,N,,ACN,ACN,N
Y,ACNB,ACNB Corporation - Common Stock,Q,S,N,100.0,N,N,,ACNB,N
Y,ACNT,Ascent Industries Co. - Common Stock,Q,G,N,100.0,N,N,,ACNT,N
Y,ACOG,Alpha Cognition Inc. - Common Stock,Q,S,N,100.0,N,N,,ACOG,N
Y,ACON,"Aclarion, Inc. - Common Stock",Q,S,N,100.0,N,N,,ACON,N
Y,ACONW,"Aclarion, Inc. - Warrant",Q,S,N,100.0,N,N,,ACONW,N
Y,ACP,abrdn Income Credit Strategies Fund Common Shares,N, ,N,100.0,N,,ACP,ACP,N
Y,ACR,ACRES Commercial Realty Corp. Common Stock,N, ,N,100.0,N,,ACR,ACR,N
Y,ACRE,Ares Commercial Real Estate Corporation Common Stock,N, ,N,100.0,N,,ACRE,ACRE,N
Y,ACRS,"Aclaris Therapeutics, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ACRS,N
Y,ACRV,"Acrivon Therapeutics, Inc. - Common Stock",Q,G,N,100.0,N,N,,ACRV,N
Y,ACT,"Enact Holdings, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ACT,N
Y,ACTG,Acacia Research Corporation - Common Stock,Q,Q,N,100.0,N,N,,ACTG,N
Y,ACTU,"Actuate Therapeutics, Inc. - Common stock",Q,G,N,100.0,N,N,,ACTU,N
Y,ACU,Acme United Corporation. Common Stock,A, ,N,100.0,N,,ACU,ACU,N
Y,ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,N, ,N,100.0,N,,ACV,ACV,N
Y,ACVA,ACV Auctions Inc. Class A Common Stock,N, ,N,100.0,N,,ACVA,ACVA,N
Y,ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",Q,S,N,100.0,N,N,,ACXP,N
Y,AD,"Array Digital Infrastructure, Inc. Common Shares",N, ,N,100.0,N,,AD,AD,N
Y,ADAC,American Drive Acquisition Company - Class A Ordinary Shares,Q,G,N,100.0,N,N,,ADAC,N
Y,ADACU,American Drive Acquisition Company - Units,Q,G,N,100.0,N,N,,ADACU,N
Y,ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",Q,G,N,100.0,N,N,,ADAG,N
Y,ADAM,"Adamas Trust, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ADAM,N
Y,ADAMG,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2030",Q,Q,N,100.0,N,N,,ADAMG,N
Y,ADAMH,"Adamas Trust, Inc. - 9.875% Senior Notes Due 2030",Q,G,N,100.0,N,N,,ADAMH,N
Y,ADAMI,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2029",Q,Q,N,100.0,N,N,,ADAMI,N
Y,ADAML,"Adamas Trust, Inc. - 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share",Q,Q,N,100.0,N,N,,ADAML,N
Y,ADAMM,"Adamas Trust, Inc. - 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",Q,Q,N,100.0,N,N,,ADAMM,N
Y,ADAMN,"Adamas Trust, Inc. - 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",Q,Q,N,100.0,N,N,,ADAMN,N
Y,ADAMO,"Adamas Trust, Inc. - 9.250% Senior Notes Due 2031",Q,Q,N,100.0,N,N,,ADAMO,N
Y,ADAMZ,"Adamas Trust, Inc. - 7.000% Series G Cumulative Redeemable Preferred Stock, $0.01 par value per share",Q,Q,N,100.0,N,N,,ADAMZ,N
Y,ADBE,Adobe Inc. - Common Stock,Q,Q,N,40.0,N,N,,ADBE,N
Y,ADC,Agree Realty Corporation Common Stock,N, ,N,100.0,N,,ADC,ADC,N
Y,ADCT,ADC Therapeutics SA Common Shares,N, ,N,100.0,N,,ADCT,ADCT,N
Y,ADEA,Adeia Inc.  - Common Stock,Q,Q,N,100.0,N,N,,ADEA,N
Y,ADGM,"Adagio Medical Holdings, Inc - Common Stock",Q,S,N,100.0,N,D,,ADGM,N
Y,ADI,"Analog Devices, Inc. - Common Stock",Q,Q,N,40.0,N,N,,ADI,N
Y,ADIL,"Adial Pharmaceuticals, Inc - Common Stock",Q,S,N,100.0,N,N,,ADIL,N
Y,ADM,Archer-Daniels-Midland Company Common Stock,N, ,N,100.0,N,,ADM,ADM,N
Y,ADMA,ADMA Biologics Inc - Common Stock,Q,G,N,100.0,N,N,,ADMA,N
Y,ADNT,Adient plc Ordinary Shares ,N, ,N,100.0,N,,ADNT,ADNT,N
Y,ADP,"Automatic Data Processing, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ADP,N
Y,ADPT,Adaptive Biotechnologies Corporation - Common Stock,Q,Q,N,100.0,N,N,,ADPT,N
Y,ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,Q,S,N,100.0,N,N,,ADSE,N
Y,ADSEW,ADS-TEC ENERGY PLC - Warrant,Q,S,N,100.0,N,N,,ADSEW,N
Y,ADSK,"Autodesk, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ADSK,N
Y,ADT,ADT Inc. Common Stock,N, ,N,100.0,N,,ADT,ADT,N
Y,ADTN,"ADTRAN Holdings, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ADTN,N
Y,ADUR,Aduro Clean Technologies Inc. - Common Stock,Q,S,N,100.0,N,N,,ADUR,N
Y,ADUS,Addus HomeCare Corporation - Common Stock,Q,Q,N,100.0,N,N,,ADUS,N
