File_Name,Original_Rows,Duplicate_Dropped,Negative_Count,Missing_Count,Quarantined_Rows,Clean_Rows
raw_data_parquet_1962.parquet,6993,0,0,0,0,6993
raw_data_parquet_1963.parquet,7028,0,0,0,0,7028
raw_data_parquet_1964.parquet,7084,0,0,0,0,7084
raw_data_parquet_1965.parquet,7056,0,0,0,0,7056
raw_data_parquet_1966.parquet,7181,0,0,0,0,7181
raw_data_parquet_1967.parquet,7279,0,0,0,0,7279
raw_data_parquet_1968.parquet,6554,0,0,0,0,6554
raw_data_parquet_1969.parquet,7250,0,0,0,0,7250
raw_data_parquet_1970.parquet,7366,0,0,0,0,7366
raw_data_parquet_1971.parquet,7337,0,0,0,0,7337
raw_data_parquet_1972.parquet,10185,0,0,0,0,10185
raw_data_parquet_1973.parquet,36528,0,0,0,0,36528
raw_data_parquet_1974.parquet,42260,0,0,0,0,42260
raw_data_parquet_1975.parquet,42749,0,0,0,0,42749
raw_data_parquet_1976.parquet,43776,0,0,0,0,43776
raw_data_parquet_1977.parquet,44254,0,0,0,0,44254
raw_data_parquet_1978.parquet,45082,0,0,0,0,45082
raw_data_parquet_1979.parquet,46260,0,0,0,0,46260
raw_data_parquet_1980.parquet,96056,0,0,0,0,96056
raw_data_parquet_1981.parquet,114776,0,0,0,0,114776
raw_data_parquet_1982.parquet,122798,0,0,0,0,122798
raw_data_parquet_1983.parquet,129158,0,0,0,0,129158
raw_data_parquet_1984.parquet,139890,0,0,0,0,139890
raw_data_parquet_1985.parquet,146445,0,0,0,0,146445
raw_data_parquet_1986.parquet,157180,0,0,0,0,157180
raw_data_parquet_1987.parquet,173771,0,0,0,0,173771
raw_data_parquet_1988.parquet,185551,0,0,0,0,185551
raw_data_parquet_1989.parquet,192993,0,0,0,0,192993
raw_data_parquet_1990.parquet,201783,0,0,0,0,201783
raw_data_parquet_1991.parquet,209543,0,0,0,0,209543
raw_data_parquet_1992.parquet,230974,0,0,0,0,230974
raw_data_parquet_1993.parquet,254396,0,0,0,0,254396
raw_data_parquet_1994.parquet,285923,0,0,0,0,285923
raw_data_parquet_1995.parquet,307447,0,0,0,0,307447
raw_data_parquet_1996.parquet,335992,0,0,0,0,335992
raw_data_parquet_1997.parquet,357353,0,0,0,0,357353
raw_data_parquet_1998.parquet,379629,0,0,0,0,379629
raw_data_parquet_1999.parquet,408690,0,0,0,0,408690
raw_data_parquet_2000.parquet,438084,0,0,0,0,438084
raw_data_parquet_2001.parquet,454242,0,0,0,0,454242
raw_data_parquet_2002.parquet,483058,0,0,0,0,483058
raw_data_parquet_2003.parquet,504182,0,0,0,0,504182
raw_data_parquet_2004.parquet,539558,0,0,0,0,539558
raw_data_parquet_2005.parquet,572604,0,0,0,0,572604
raw_data_parquet_2006.parquet,615161,0,0,0,0,615161
raw_data_parquet_2007.parquet,683513,0,0,0,0,683513
raw_data_parquet_2008.parquet,736132,0,0,0,0,736132
raw_data_parquet_2009.parquet,761553,0,0,0,0,761553
raw_data_parquet_2010.parquet,809161,0,0,0,0,809161
raw_data_parquet_2011.parquet,855929,0,0,0,0,855929
raw_data_parquet_2012.parquet,895193,0,0,0,0,895193
raw_data_parquet_2013.parquet,950622,0,0,0,0,950622
raw_data_parquet_2014.parquet,1013188,0,0,0,0,1013188
raw_data_parquet_2015.parquet,1076268,0,0,0,0,1076268
raw_data_parquet_2016.parquet,1130817,0,0,0,0,1130817
raw_data_parquet_2017.parquet,1191151,0,0,0,0,1191151
raw_data_parquet_2018.parquet,1282028,0,0,0,0,1282028
raw_data_parquet_2019.parquet,1373517,0,0,0,0,1373517
raw_data_parquet_2020.parquet,1481668,0,0,0,0,1481668
raw_data_parquet_2021.parquet,1668602,0,0,0,0,1668602
raw_data_parquet_2022.parquet,1832850,0,0,0,0,1832850
raw_data_parquet_2023.parquet,1955926,0,0,0,0,1955926
raw_data_parquet_2024.parquet,2174211,0,0,0,0,2174211
raw_data_parquet_2025.parquet,2486375,0,0,0,0,2486375
raw_data_parquet_2026.parquet,1458664,0,0,0,0,1458664
